date,series,open,high,low,prev. close,ltp,close,vwap,52W H,52W L,volume,value,no of trades,date
12-Apr-2023,EQ,100.15,101.1,99.5,100.0,100.8,100.8,100.38,341.6,87.0,"89,38,731","89,72,75,780.65","38,687",2023-04-12
13-Apr-2023,EQ,100.8,101.8,100.5,100.8,100.65,100.9,101.07,341.6,87.0,"91,53,834","92,51,47,649.75","39,390",2023-04-13
17-Apr-2023,EQ,101.0,101.5,100.0,100.9,101.45,101.4,100.98,341.6,87.0,"83,23,162","84,04,61,338.85","42,457",2023-04-17
18-Apr-2023,EQ,101.4,103.85,101.2,101.4,102.95,102.95,102.81,341.6,87.0,"1,97,58,227","2,03,13,82,421.05","62,532",2023-04-18
19-Apr-2023,EQ,103.0,103.1,101.25,102.95,101.35,101.4,102.33,341.6,87.0,"1,12,71,768","1,15,34,26,705.25","62,891",2023-04-19
20-Apr-2023,EQ,101.5,103.3,101.35,101.4,102.7,102.85,102.82,341.6,87.0,"1,32,41,812","1,36,15,13,180.00","49,532",2023-04-20
21-Apr-2023,EQ,102.7,103.5,102.2,102.85,102.7,102.8,102.82,341.6,87.0,"56,25,649","57,84,50,100.95","30,647",2023-04-21
24-Apr-2023,EQ,102.8,103.2,101.5,102.8,101.7,101.8,101.89,341.6,87.0,"59,94,078","61,07,51,037.05","36,666",2023-04-24
25-Apr-2023,EQ,101.8,102.0,100.75,101.8,101.15,101.15,101.25,341.6,87.0,"56,96,053","57,67,39,851.65","26,526",2023-04-25
26-Apr-2023,EQ,100.8,101.9,100.4,101.15,101.5,101.65,101.2,341.6,87.0,"45,76,455","46,31,35,068.55","32,248",2023-04-26
27-Apr-2023,EQ,101.2,102.1,101.15,101.65,101.5,101.45,101.54,341.6,87.0,"53,62,153","54,44,58,759.95","25,061",2023-04-27
28-Apr-2023,EQ,101.95,103.45,101.25,101.45,103.15,103.3,102.87,341.6,87.0,"1,18,12,226","1,21,51,61,323.55","53,163",2023-04-28
02-May-2023,EQ,104.0,105.1,103.5,103.3,104.25,104.3,104.33,341.6,87.0,"1,35,98,952","1,41,87,27,636.05","57,650",2023-05-02
03-May-2023,EQ,104.15,106.55,103.65,104.3,106.35,106.35,105.75,341.6,87.0,"1,60,34,319","1,69,56,10,812.85","68,091",2023-05-03
04-May-2023,EQ,106.95,108.25,106.5,106.35,107.25,107.25,107.29,341.6,87.0,"1,54,14,305","1,65,38,26,930.80","67,452",2023-05-04
05-May-2023,EQ,107.05,107.95,105.8,107.25,106.15,106.3,106.96,341.6,87.0,"93,15,810","99,64,20,545.90","41,271",2023-05-05
08-May-2023,EQ,106.3,107.5,106.0,106.3,107.25,107.3,107.06,341.6,87.0,"67,21,354","71,96,10,464.30","41,948",2023-05-08
09-May-2023,EQ,107.2,108.15,106.6,107.3,107.25,107.55,107.41,341.6,87.0,"1,00,63,354","1,08,08,67,973.90","37,650",2023-05-09
10-May-2023,EQ,107.9,108.6,107.25,107.55,108.0,108.05,107.96,341.6,87.0,"1,03,60,986","1,11,85,24,836.85","43,096",2023-05-10
11-May-2023,EQ,108.25,109.0,107.5,108.05,108.65,108.6,108.31,341.6,87.0,"94,35,021","1,02,19,40,027.50","36,351",2023-05-11
12-May-2023,EQ,108.65,108.65,106.6,108.6,107.45,107.3,107.32,341.6,87.0,"68,55,025","73,57,00,984.25","45,348",2023-05-12
15-May-2023,EQ,107.1,108.6,106.9,107.3,107.7,107.65,107.9,341.6,87.0,"78,33,289","84,52,20,426.00","32,141",2023-05-15
16-May-2023,EQ,107.7,109.1,107.4,107.65,108.5,108.45,108.27,341.6,87.0,"90,51,577","98,00,13,366.95","37,917",2023-05-16
17-May-2023,EQ,108.8,109.75,107.95,108.45,108.2,108.25,108.71,341.6,87.0,"94,56,088","1,02,79,73,667.75","35,851",2023-05-17
18-May-2023,EQ,108.5,109.25,107.25,108.25,107.3,107.8,108.32,341.6,87.0,"72,20,608","78,21,25,695.45","24,632",2023-05-18
19-May-2023,EQ,107.8,107.85,105.7,107.8,107.05,107.0,106.85,341.6,87.0,"92,55,095","98,88,75,112.75","34,872",2023-05-19
22-May-2023,EQ,108.55,111.3,107.6,107.0,110.45,110.45,110.3,341.6,87.0,"2,79,46,526","3,08,24,28,251.20","91,257",2023-05-22
23-May-2023,EQ,110.95,111.05,107.75,110.45,107.9,107.9,108.84,341.6,87.0,"1,52,14,733","1,65,59,96,324.95","59,604",2023-05-23
24-May-2023,EQ,107.9,109.3,107.3,107.9,108.65,108.8,108.68,341.6,87.0,"1,07,22,681","1,16,53,59,631.50","40,797",2023-05-24
25-May-2023,EQ,108.0,110.75,108.0,108.8,109.6,109.6,109.79,341.6,87.0,"1,11,58,044","1,22,50,76,352.40","44,128",2023-05-25
26-May-2023,EQ,109.55,111.0,109.1,109.6,110.55,110.7,110.3,341.6,87.0,"79,58,341","87,77,93,475.95","38,341",2023-05-26
29-May-2023,EQ,111.0,111.8,110.2,110.7,111.7,111.45,111.12,341.6,87.0,"1,03,30,215","1,14,78,85,086.60","54,752",2023-05-29
30-May-2023,EQ,111.45,112.6,111.0,111.45,111.15,111.25,111.73,341.6,87.0,"78,03,617","87,19,03,020.05","39,508",2023-05-30
31-May-2023,EQ,110.55,112.45,110.2,111.25,112.2,112.15,111.64,341.6,87.0,"1,57,41,522","1,75,73,41,707.45","50,106",2023-05-31
01-Jun-2023,EQ,112.2,113.45,112.0,112.15,112.9,112.9,112.91,341.6,87.0,"91,85,292","1,03,71,11,757.70","67,563",2023-06-01
02-Jun-2023,EQ,113.4,113.5,112.0,112.9,113.05,113.3,112.77,341.6,87.0,"99,39,324","1,12,08,57,368.55","61,382",2023-06-02
05-Jun-2023,EQ,113.35,118.65,113.35,113.3,115.8,115.65,116.98,341.6,87.0,"3,52,14,281","4,11,94,90,049.35","1,31,975",2023-06-05
06-Jun-2023,EQ,116.25,118.5,115.9,115.65,118.0,118.05,117.37,341.6,87.0,"1,89,99,553","2,22,98,86,771.10","64,000",2023-06-06
07-Jun-2023,EQ,118.75,119.0,117.5,118.05,118.1,118.05,118.11,341.6,87.0,"1,12,62,532","1,33,02,47,306.45","62,771",2023-06-07
08-Jun-2023,EQ,118.5,118.7,116.4,118.05,117.75,117.55,117.49,341.6,87.0,"1,11,88,999","1,31,45,54,864.75","44,415",2023-06-08
09-Jun-2023,EQ,118.0,121.45,116.7,117.55,120.4,120.35,119.65,341.6,87.0,"1,98,73,573","2,37,78,91,629.65","89,830",2023-06-09
12-Jun-2023,EQ,120.95,123.9,118.75,120.35,119.45,119.1,121.27,341.6,87.0,"2,43,31,332","2,95,07,41,256.05","1,32,041",2023-06-12
13-Jun-2023,EQ,119.9,122.45,118.9,119.1,122.3,122.1,121.12,341.6,87.0,"1,65,52,079","2,00,47,84,113.40","57,139",2023-06-13
14-Jun-2023,EQ,122.35,123.15,121.1,122.1,121.15,121.4,121.93,341.6,87.0,"86,60,080","1,05,59,14,498.50","51,388",2023-06-14
15-Jun-2023,EQ,121.4,122.75,120.05,121.4,121.9,121.95,121.78,341.6,87.0,"1,39,48,239","1,69,86,26,977.25","51,440",2023-06-15
16-Jun-2023,EQ,122.3,127.25,121.65,121.95,125.0,125.2,124.96,341.6,87.0,"3,26,49,860","4,07,99,61,019.20","99,377",2023-06-16
19-Jun-2023,EQ,126.35,126.35,124.45,125.2,125.15,124.85,125.53,341.6,87.0,"1,00,53,869","1,26,20,23,602.90","82,001",2023-06-19
20-Jun-2023,EQ,125.0,126.75,123.9,124.85,125.2,125.15,125.03,341.6,87.0,"1,54,71,361","1,93,43,62,940.85","91,723",2023-06-20
21-Jun-2023,EQ,126.15,126.3,121.75,125.15,122.95,122.8,124.62,341.6,87.0,"1,41,41,162","1,76,23,31,689.25","60,092",2023-06-21
22-Jun-2023,EQ,123.55,127.35,122.8,122.8,123.65,123.45,124.85,341.6,87.0,"2,50,32,998","3,12,54,74,352.15","1,16,277",2023-06-22
23-Jun-2023,EQ,123.75,123.9,119.5,123.45,119.9,120.05,121.56,341.6,87.0,"1,24,13,343","1,50,89,05,436.40","81,427",2023-06-23
26-Jun-2023,EQ,121.0,122.55,120.0,120.05,121.75,121.4,121.16,341.6,87.0,"1,73,69,553","2,10,44,71,441.40","71,769",2023-06-26
27-Jun-2023,EQ,122.1,122.6,117.9,121.4,118.65,118.4,119.29,341.6,87.0,"1,90,93,714","2,27,76,14,905.85","72,955",2023-06-27
28-Jun-2023,EQ,119.15,122.4,118.1,118.4,122.15,120.75,120.02,341.6,87.0,"6,18,90,385","7,42,82,76,331.45","1,15,874",2023-06-28
30-Jun-2023,EQ,121.4,126.7,120.75,120.75,125.25,125.75,123.71,341.6,87.0,"2,79,73,500","3,46,06,89,776.55","2,74,673",2023-06-30
03-Jul-2023,EQ,126.0,126.0,122.7,125.75,124.0,123.75,124.04,341.6,87.0,"1,54,92,508","1,92,16,16,959.00","82,266",2023-07-03
04-Jul-2023,EQ,124.0,124.2,121.55,123.75,122.35,122.05,122.69,341.6,87.0,"75,95,425","93,19,15,224.60","58,755",2023-07-04
05-Jul-2023,EQ,122.55,123.75,121.05,122.05,122.15,121.75,121.96,341.6,87.0,"1,56,15,891","1,90,44,89,375.45","50,145",2023-07-05
06-Jul-2023,EQ,122.3,125.1,121.9,121.75,124.8,124.8,123.96,341.6,87.0,"1,69,06,327","2,09,56,94,647.35","1,27,618",2023-07-06
07-Jul-2023,EQ,124.35,125.9,123.65,124.8,123.9,124.05,124.68,341.6,87.0,"2,28,37,962","2,84,74,29,236.30","74,208",2023-07-07
10-Jul-2023,EQ,124.2,124.65,122.5,124.05,123.1,123.0,123.2,341.6,87.0,"90,68,813","1,11,72,71,182.15","49,999",2023-07-10
11-Jul-2023,EQ,123.45,128.65,123.4,123.0,127.35,127.4,127.11,341.6,87.0,"4,62,15,137","5,87,46,18,901.80","1,22,273",2023-07-11
12-Jul-2023,EQ,128.3,128.5,126.55,127.4,127.35,127.65,127.49,341.6,87.0,"1,80,31,857","2,29,88,50,535.80","72,480",2023-07-12
13-Jul-2023,EQ,127.75,128.8,125.0,127.65,125.8,125.5,126.99,341.6,87.0,"1,23,74,030","1,57,13,30,547.90","71,093",2023-07-13
14-Jul-2023,EQ,126.0,127.5,124.1,125.5,127.1,127.15,125.83,341.6,87.0,"95,77,719","1,20,51,82,312.70","39,788",2023-07-14
17-Jul-2023,EQ,127.8,128.25,126.4,127.15,127.0,127.15,127.31,341.6,87.0,"94,11,535","1,19,81,75,193.50","42,337",2023-07-17
18-Jul-2023,EQ,127.7,128.3,125.25,127.15,127.35,127.1,126.85,341.6,87.0,"89,94,063","1,14,08,65,947.70","36,959",2023-07-18
19-Jul-2023,EQ,127.75,127.75,126.7,127.1,127.0,126.9,127.03,341.6,87.0,"89,75,718","1,14,01,51,332.45","50,602",2023-07-19
20-Jul-2023,EQ,127.0,127.25,125.55,126.9,126.55,126.0,126.1,341.6,87.0,"1,01,87,180","1,28,46,05,597.05","45,240",2023-07-20
21-Jul-2023,EQ,126.35,126.65,124.75,126.0,124.95,124.95,125.36,341.6,87.0,"99,26,528","1,24,44,18,746.55","45,474",2023-07-21
24-Jul-2023,EQ,125.35,127.75,125.0,124.95,126.2,126.0,126.37,341.6,87.0,"1,31,21,674","1,65,82,48,274.50","57,838",2023-07-24
25-Jul-2023,EQ,126.55,127.2,125.35,126.0,127.15,127.05,126.5,341.6,87.0,"71,51,050","90,45,83,731.45","58,229",2023-07-25
26-Jul-2023,EQ,127.05,127.35,125.65,127.05,126.15,126.0,126.15,341.6,87.0,"1,26,81,896","1,59,98,78,060.25","1,01,328",2023-07-26
27-Jul-2023,EQ,126.2,128.8,126.0,126.0,127.2,127.25,127.28,341.6,87.0,"1,15,97,763","1,47,62,12,368.35","53,476",2023-07-27
28-Jul-2023,EQ,129.25,131.7,128.0,127.25,129.85,130.15,129.88,341.6,87.0,"3,72,45,053","4,83,74,15,902.40","1,30,315",2023-07-28
31-Jul-2023,EQ,130.3,131.0,128.85,130.15,130.7,130.7,130.18,341.6,87.0,"1,61,97,160","2,10,85,95,662.35","65,849",2023-07-31
01-Aug-2023,EQ,131.0,133.25,130.05,130.7,130.7,130.45,131.43,341.6,87.0,"1,70,79,508","2,24,48,42,382.25","94,054",2023-08-01
02-Aug-2023,EQ,130.45,130.7,123.7,130.45,125.5,125.35,126.33,341.6,87.0,"2,08,16,954","2,62,98,03,145.60","1,07,782",2023-08-02
03-Aug-2023,EQ,125.55,126.5,123.5,125.35,124.9,124.65,125.01,341.6,87.0,"1,24,15,922","1,55,21,57,625.15","67,089",2023-08-03
04-Aug-2023,EQ,126.3,128.05,125.5,124.65,127.6,127.6,126.83,341.6,87.0,"1,05,89,274","1,34,30,51,842.50","49,693",2023-08-04
07-Aug-2023,EQ,128.45,129.2,126.6,127.6,128.25,128.55,127.99,341.6,87.0,"83,39,894","1,06,74,23,779.35","54,913",2023-08-07
08-Aug-2023,EQ,128.7,130.0,127.6,128.55,129.25,129.15,129.05,341.6,87.0,"1,25,05,272","1,61,38,42,655.35","55,051",2023-08-08
09-Aug-2023,EQ,129.8,132.4,129.0,129.15,131.7,131.7,131.05,341.6,87.0,"1,31,11,006","1,71,82,40,324.15","71,736",2023-08-09
10-Aug-2023,EQ,131.6,133.15,129.1,131.7,130.0,129.4,131.45,341.6,87.0,"1,11,16,731","1,46,12,89,660.00","68,451",2023-08-10
11-Aug-2023,EQ,130.2,133.25,129.55,129.4,132.0,132.05,132.2,341.6,87.0,"1,09,67,883","1,44,99,86,927.15","59,317",2023-08-11
14-Aug-2023,EQ,131.95,131.95,129.45,132.05,130.85,130.5,130.59,341.6,87.0,"85,29,502","1,11,39,07,135.65","56,016",2023-08-14
